FlightNum,FlightDate,Origin_Del1,Origin_Del2,Origin_Del3,Origin_Del4,Origin_Del5,Origin_Del6,Origin_Del7,Origin_Del8,Origin_Del9,Origin_Del10,Origin_Del11,Origin_Del12,Origin_Del13,Origin_Del14,Origin_Del15,Origin_Del16,Origin_Del17,Origin_Del18,Origin_Del19,Origin_Del20
67,2010-01-01,2.00,6.00,-7.00,26.00,-1.00,-4.00,-4.00,9.00,-5.00,0.00,-7.00,-5.00,1.00,-4.00,8.00,5.00,0.00,-2.00,-5.00,-5.00
67,2010-01-02,23.00,5.00,-5.00,62.00,3.00,19.00,-4.00,-3.00,81.00,-3.00,-7.00,-5.00,144.00,149.00,10.00,-4.00,-1.00,-4.00,-5.00,-4.00
1927,2010-01-02,23.00,5.00,-5.00,62.00,3.00,19.00,-4.00,-3.00,81.00,-3.00,-7.00,-5.00,144.00,149.00,10.00,-4.00,-1.00,-4.00,-5.00,-4.00
67,2010-01-03,-2.00,-4.00,233.00,22.00,3.00,150.00,-1.00,-5.00,-4.00,-5.00,49.00,114.00,0.00,9.00,17.00,45.00,29.00,60.00,128.00,36.00
1927,2010-01-03,-2.00,-4.00,233.00,22.00,3.00,150.00,-1.00,-5.00,-4.00,-5.00,49.00,114.00,0.00,9.00,17.00,45.00,29.00,60.00,128.00,36.00
67,2010-01-04,0.00,12.00,8.00,17.00,60.00,-10.00,-3.00,-4.00,-7.00,26.00,-1.00,15.00,11.00,62.00,0.00,4.00,-3.00,32.00,-4.00,-6.00
1927,2010-01-04,0.00,12.00,8.00,17.00,60.00,-10.00,-3.00,-4.00,-7.00,26.00,-1.00,15.00,11.00,62.00,0.00,4.00,-3.00,32.00,-4.00,-6.00
1923,2010-01-05,3.00,-4.00,-3.00,0.00,26.00,-1.00,2.00,0.00,-1.00,-4.00,-5.00,2.00,1.00,1.00,24.00,15.00,-3.00,-6.00,-4.00,118.00
67,2010-01-05,3.00,-4.00,-3.00,0.00,26.00,-1.00,2.00,0.00,-1.00,-4.00,-5.00,2.00,1.00,1.00,24.00,15.00,-3.00,-6.00,-4.00,118.00
1927,2010-01-05,3.00,-4.00,-3.00,0.00,26.00,-1.00,2.00,0.00,-1.00,-4.00,-5.00,2.00,1.00,1.00,24.00,15.00,-3.00,-6.00,-4.00,118.00
1923,2010-01-06,11.00,-3.00,-2.00,-1.00,-5.00,46.00,39.00,5.00,-6.00,3.00,-4.00,7.00,-1.00,1.00,2.00,19.00,-10.00,-3.00,79.00,-6.00
67,2010-01-06,11.00,-3.00,-2.00,-1.00,-5.00,46.00,39.00,5.00,-6.00,3.00,-4.00,7.00,-1.00,1.00,2.00,19.00,-10.00,-3.00,79.00,-6.00
1927,2010-01-06,11.00,-3.00,-2.00,-1.00,-5.00,46.00,39.00,5.00,-6.00,3.00,-4.00,7.00,-1.00,1.00,2.00,19.00,-10.00,-3.00,79.00,-6.00
1923,2010-01-07,43.00,-1.00,65.00,43.00,10.00,-4.00,-2.00,23.00,14.00,0.00,-2.00,10.00,0.00,0.00,18.00,-2.00,-4.00,-1.00,-1.00,16.00
67,2010-01-07,43.00,-1.00,65.00,43.00,10.00,-4.00,-2.00,23.00,14.00,0.00,-2.00,10.00,0.00,0.00,18.00,-2.00,-4.00,-1.00,-1.00,16.00
1927,2010-01-07,43.00,-1.00,65.00,43.00,10.00,-4.00,-2.00,23.00,14.00,0.00,-2.00,10.00,0.00,0.00,18.00,-2.00,-4.00,-1.00,-1.00,16.00
1923,2010-01-08,-2.00,59.00,11.00,58.00,42.00,0.00,24.00,45.00,95.00,9.00,57.00,26.00,0.00,-4.00,116.00,0.00,0.00,98.00,101.00,31.00
67,2010-01-08,-2.00,59.00,11.00,58.00,42.00,0.00,24.00,45.00,95.00,9.00,57.00,26.00,0.00,-4.00,116.00,0.00,0.00,98.00,101.00,31.00
1927,2010-01-08,-2.00,59.00,11.00,58.00,42.00,0.00,24.00,45.00,95.00,9.00,57.00,26.00,0.00,-4.00,116.00,0.00,0.00,98.00,101.00,31.00
1923,2010-01-09,10.00,46.00,0.00,9.00,-4.00,0.00,-1.00,-5.00,-11.00,-5.00,7.00,-1.00,-1.00,-1.00,-6.00,-4.00,3.00,6.00,-1.00,4.00
67,2010-01-09,10.00,46.00,0.00,9.00,-4.00,0.00,-1.00,-5.00,-11.00,-5.00,7.00,-1.00,-1.00,-1.00,-6.00,-4.00,3.00,6.00,-1.00,4.00
1923,2010-01-10,-1.00,-4.00,30.00,2.00,20.00,-2.00,-1.00,-3.00,-8.00,4.00,0.00,-4.00,-7.00,-6.00,-2.00,-5.00,1440,4.00,-1.00,-5.00
67,2010-01-10,-1.00,-4.00,30.00,2.00,20.00,-2.00,-1.00,-3.00,-8.00,4.00,0.00,-4.00,-7.00,-6.00,-2.00,-5.00,1440,4.00,-1.00,-5.00
1927,2010-01-10,-1.00,-4.00,30.00,2.00,20.00,-2.00,-1.00,-3.00,-8.00,4.00,0.00,-4.00,-7.00,-6.00,-2.00,-5.00,1440,4.00,-1.00,-5.00
1923,2010-01-11,-5.00,10.00,5.00,8.00,2.00,-8.00,-3.00,-3.00,-2.00,-3.00,-1.00,1.00,-4.00,9.00,-4.00,-5.00,-1.00,13.00,3.00,-1.00
67,2010-01-11,-5.00,10.00,5.00,8.00,2.00,-8.00,-3.00,-3.00,-2.00,-3.00,-1.00,1.00,-4.00,9.00,-4.00,-5.00,-1.00,13.00,3.00,-1.00
1927,2010-01-11,-5.00,10.00,5.00,8.00,2.00,-8.00,-3.00,-3.00,-2.00,-3.00,-1.00,1.00,-4.00,9.00,-4.00,-5.00,-1.00,13.00,3.00,-1.00
1923,2010-01-12,14.00,11.00,9.00,-2.00,-3.00,-5.00,16.00,36.00,-6.00,-3.00,-6.00,5.00,9.00,2.00,28.00,0.00,-2.00,-3.00,69.00,11.00
67,2010-01-12,14.00,11.00,9.00,-2.00,-3.00,-5.00,16.00,36.00,-6.00,-3.00,-6.00,5.00,9.00,2.00,28.00,0.00,-2.00,-3.00,69.00,11.00
1927,2010-01-12,14.00,11.00,9.00,-2.00,-3.00,-5.00,16.00,36.00,-6.00,-3.00,-6.00,5.00,9.00,2.00,28.00,0.00,-2.00,-3.00,69.00,11.00
1923,2010-01-13,-1.00,0.00,-2.00,-6.00,-4.00,3.00,-7.00,-2.00,-6.00,-4.00,-1.00,-2.00,-1.00,-8.00,-4.00,-5.00,0.00,12.00,-1.00,-5.00
67,2010-01-13,-1.00,0.00,-2.00,-6.00,-4.00,3.00,-7.00,-2.00,-6.00,-4.00,-1.00,-2.00,-1.00,-8.00,-4.00,-5.00,0.00,12.00,-1.00,-5.00
1927,2010-01-13,-1.00,0.00,-2.00,-6.00,-4.00,3.00,-7.00,-2.00,-6.00,-4.00,-1.00,-2.00,-1.00,-8.00,-4.00,-5.00,0.00,12.00,-1.00,-5.00
