FlightNum,FlightDate,Carrier_Origin_Del1,Carrier_Origin_Del2,Carrier_Origin_Del3,Carrier_Origin_Del4,Carrier_Origin_Del5
67,2010-01-01,6.00,-7.00,26.00,-1.00,-5.00
67,2010-01-02,23.00,5.00,-5.00,62.00,-7.00
1927,2010-01-02,23.00,5.00,-5.00,62.00,-7.00
67,2010-01-03,-2.00,-4.00,233.00,-5.00,17.00
1927,2010-01-03,-2.00,-4.00,233.00,-5.00,17.00
67,2010-01-04,0.00,12.00,8.00,17.00,15.00
1927,2010-01-04,0.00,12.00,8.00,17.00,15.00
1923,2010-01-05,3.00,-4.00,-3.00,0.00,2.00
67,2010-01-05,3.00,-4.00,-3.00,0.00,2.00
1927,2010-01-05,3.00,-4.00,-3.00,0.00,2.00
1923,2010-01-06,11.00,-3.00,-2.00,-1.00,5.00
67,2010-01-06,11.00,-3.00,-2.00,-1.00,5.00
1927,2010-01-06,11.00,-3.00,-2.00,-1.00,5.00
1923,2010-01-07,43.00,-1.00,65.00,23.00,10.00
67,2010-01-07,43.00,-1.00,65.00,23.00,10.00
1927,2010-01-07,43.00,-1.00,65.00,23.00,10.00
1923,2010-01-08,-2.00,59.00,11.00,45.00,26.00
67,2010-01-08,-2.00,59.00,11.00,45.00,26.00
1927,2010-01-08,-2.00,59.00,11.00,45.00,26.00
1923,2010-01-09,10.00,46.00,0.00,-5.00,7.00
67,2010-01-09,10.00,46.00,0.00,-5.00,7.00
1923,2010-01-10,-1.00,-4.00,30.00,-1.00,0.00
67,2010-01-10,-1.00,-4.00,30.00,-1.00,0.00
1927,2010-01-10,-1.00,-4.00,30.00,-1.00,0.00
1923,2010-01-11,-5.00,10.00,5.00,-3.00,-1.00
67,2010-01-11,-5.00,10.00,5.00,-3.00,-1.00
1927,2010-01-11,-5.00,10.00,5.00,-3.00,-1.00
1923,2010-01-12,14.00,11.00,9.00,36.00,5.00
67,2010-01-12,14.00,11.00,9.00,36.00,5.00
1927,2010-01-12,14.00,11.00,9.00,36.00,5.00
1923,2010-01-13,-1.00,0.00,-2.00,-7.00,-1.00
67,2010-01-13,-1.00,0.00,-2.00,-7.00,-1.00
1927,2010-01-13,-1.00,0.00,-2.00,-7.00,-1.00
1923,2010-01-14,-1.00,-1.00,-4.00,-5.00,2.00
67,2010-01-14,-1.00,-1.00,-4.00,-5.00,2.00
1927,2010-01-14,-1.00,-1.00,-4.00,-5.00,2.00
1923,2010-01-15,1.00,0.00,22.00,0.00,-1.00
67,2010-01-15,1.00,0.00,22.00,0.00,-1.00
1927,2010-01-15,1.00,0.00,22.00,0.00,-1.00
1923,2010-01-16,-4.00,0.00,15.00,-6.00,16.00
67,2010-01-16,-4.00,0.00,15.00,-6.00,16.00
1923,2010-01-17,7.00,-2.00,2.00,-5.00,-2.00
67,2010-01-17,7.00,-2.00,2.00,-5.00,-2.00
1927,2010-01-17,7.00,-2.00,2.00,-5.00,-2.00
1923,2010-01-18,-5.00,-2.00,1.00,-2.00,0.00
67,2010-01-18,-5.00,-2.00,1.00,-2.00,0.00
1927,2010-01-18,-5.00,-2.00,1.00,-2.00,0.00
1923,2010-01-19,-1.00,-4.00,-1.00,-7.00,2.00
67,2010-01-19,-1.00,-4.00,-1.00,-7.00,2.00
1927,2010-01-19,-1.00,-4.00,-1.00,-7.00,2.00
1923,2010-01-20,-1.00,-5.00,-6.00,-4.00,-3.00
67,2010-01-20,-1.00,-5.00,-6.00,-4.00,-3.00
1927,2010-01-20,-1.00,-5.00,-6.00,-4.00,-3.00
1923,2010-01-21,0.00,-2.00,21.00,4.00,2.00
67,2010-01-21,0.00,-2.00,21.00,4.00,2.00
1927,2010-01-21,0.00,-2.00,21.00,4.00,2.00
1923,2010-01-22,0.00,15.00,-2.00,3.00,-7.00
67,2010-01-22,0.00,15.00,-2.00,3.00,-7.00
1927,2010-01-22,0.00,15.00,-2.00,3.00,-7.00
1923,2010-01-23,-6.00,0.00,13.00,-1.00,2.00
67,2010-01-23,-6.00,0.00,13.00,-1.00,2.00
1923,2010-01-24,25.00,1440,12.00,-3.00,16.00
67,2010-01-24,25.00,1440,12.00,-3.00,16.00
1927,2010-01-24,25.00,1440,12.00,-3.00,16.00
1923,2010-01-25,-6.00,0.00,0.00,41.00,-5.00
67,2010-01-25,-6.00,0.00,0.00,41.00,-5.00
1927,2010-01-25,-6.00,0.00,0.00,41.00,-5.00
1923,2010-01-26,-6.00,-2.00,-4.00,-4.00,-2.00
67,2010-01-26,-6.00,-2.00,-4.00,-4.00,-2.00
1927,2010-01-26,-6.00,-2.00,-4.00,-4.00,-2.00
1923,2010-01-27,-3.00,-2.00,-6.00,-9.00,-1.00
67,2010-01-27,-3.00,-2.00,-6.00,-9.00,-1.00
1927,2010-01-27,-3.00,-2.00,-6.00,-9.00,-1.00
1923,2010-01-28,66.00,-2.00,-4.00,3.00,2.00
67,2010-01-28,66.00,-2.00,-4.00,3.00,2.00
1927,2010-01-28,66.00,-2.00,-4.00,3.00,2.00
1923,2010-01-29,-3.00,19.00,9.00,10.00,35.00
67,2010-01-29,-3.00,19.00,9.00,10.00,35.00
1927,2010-01-29,-3.00,19.00,9.00,10.00,35.00
1923,2010-01-30,-3.00,1440,6.00,1440,-5.00
67,2010-01-30,-3.00,1440,6.00,1440,-5.00
1923,2010-01-31,-5.00,-2.00,1.00,-4.00,-4.00
67,2010-01-31,-5.00,-2.00,1.00,-4.00,-4.00
1927,2010-01-31,-5.00,-2.00,1.00,-4.00,-4.00
1923,2010-02-01,-3.00,-4.00,64.00,-3.00,2.00
67,2010-02-01,-3.00,-4.00,64.00,-3.00,2.00
1927,2010-02-01,-3.00,-4.00,64.00,-3.00,2.00
1923,2010-02-02,-4.00,-1.00,19.00,-6.00,1.00
67,2010-02-02,-4.00,-1.00,19.00,-6.00,1.00
1927,2010-02-02,-4.00,-1.00,19.00,-6.00,1.00
1923,2010-02-03,2.00,2.00,7.00,-3.00,-5.00
67,2010-02-03,2.00,2.00,7.00,-3.00,-5.00
1927,2010-02-03,2.00,2.00,7.00,-3.00,-5.00
1923,2010-02-04,27.00,25.00,21.00,11.00,4.00
67,2010-02-04,27.00,25.00,21.00,11.00,4.00
1927,2010-02-04,27.00,25.00,21.00,11.00,4.00
1923,2010-02-05,0.00,3.00,15.00,1440,-3.00
67,2010-02-05,0.00,3.00,15.00,1440,-3.00
1927,2010-02-05,0.00,3.00,15.00,1440,-3.00
1923,2010-02-06,-1.00,-6.00,0.00,1440,-3.00
67,2010-02-06,-1.00,-6.00,0.00,1440,-3.00
1923,2010-02-07,-5.00,-3.00,7.00,2.00,3.00
67,2010-02-07,-5.00,-3.00,7.00,2.00,3.00
1927,2010-02-07,-5.00,-3.00,7.00,2.00,3.00
1923,2010-02-08,-6.00,-5.00,3.00,-4.00,1.00
67,2010-02-08,-6.00,-5.00,3.00,-4.00,1.00
1927,2010-02-08,-6.00,-5.00,3.00,-4.00,1.00
1923,2010-02-09,-7.00,4.00,30.00,-2.00,37.00
67,2010-02-09,-7.00,4.00,30.00,-2.00,37.00
1927,2010-02-09,-7.00,4.00,30.00,-2.00,37.00
1923,2010-02-10,-5.00,29.00,-4.00,-1.00,-7.00
67,2010-02-10,-5.00,29.00,-4.00,-1.00,-7.00
1927,2010-02-10,-5.00,29.00,-4.00,-1.00,-7.00
1923,2010-02-11,14.00,12.00,18.00,9.00,19.00
67,2010-02-11,14.00,12.00,18.00,9.00,19.00
1927,2010-02-11,14.00,12.00,18.00,9.00,19.00
1923,2010-02-12,-6.00,1440,1440,-4.00,3.00
67,2010-02-12,-6.00,1440,1440,-4.00,3.00
1927,2010-02-12,-6.00,1440,1440,-4.00,3.00
1923,2010-02-13,18.00,-6.00,2.00,1440,1440
67,2010-02-13,18.00,-6.00,2.00,1440,1440
1923,2010-02-14,2.00,-4.00,11.00,-2.00,-2.00
67,2010-02-14,2.00,-4.00,11.00,-2.00,-2.00
1923,2010-02-15,62.00,-3.00,4.00,14.00,-5.00
67,2010-02-15,62.00,-3.00,4.00,14.00,-5.00
1927,2010-02-15,62.00,-3.00,4.00,14.00,-5.00
1923,2010-02-16,-6.00,-4.00,9.00,-2.00,9.00
67,2010-02-16,-6.00,-4.00,9.00,-2.00,9.00
1927,2010-02-16,-6.00,-4.00,9.00,-2.00,9.00
1923,2010-02-17,-3.00,-4.00,49.00,-5.00,-3.00
67,2010-02-17,-3.00,-4.00,49.00,-5.00,-3.00
1927,2010-02-17,-3.00,-4.00,49.00,-5.00,-3.00
1923,2010-02-18,0.00,-4.00,3.00,-3.00,0.00
67,2010-02-18,0.00,-4.00,3.00,-3.00,0.00
1927,2010-02-18,0.00,-4.00,3.00,-3.00,0.00
1923,2010-02-19,0.00,-2.00,4.00,-4.00,-4.00
