FlightNum,FlightDate,Carrier_Del1,Carrier_Del2,Carrier_Del3,Carrier_Del4,Carrier_Del5,Carrier_Del6,Carrier_Del7,Carrier_Del8,Carrier_Del9,Carrier_Del10
67,2010-01-01,8.00,6.00,61.00,-7.00,-2.00,26.00,-7.00,-1.00,-1.00,11.00
67,2010-01-02,12.00,23.00,46.00,5.00,24.00,-1.00,-5.00,-2.00,62.00,-2.00
1927,2010-01-02,12.00,23.00,46.00,5.00,24.00,-1.00,-5.00,-2.00,62.00,-2.00
67,2010-01-03,129.00,-2.00,56.00,-1.00,-4.00,0.00,7.00,233.00,0.00,-7.00
1927,2010-01-03,129.00,-2.00,56.00,-1.00,-4.00,0.00,7.00,233.00,0.00,-7.00
67,2010-01-04,0.00,3.00,12.00,-6.00,-6.00,8.00,0.00,8.00,17.00,1.00
1927,2010-01-04,0.00,3.00,12.00,-6.00,-6.00,8.00,0.00,8.00,17.00,1.00
1923,2010-01-05,3.00,-4.00,-3.00,-8.00,6.00,-3.00,-3.00,-4.00,71.00,-1.00
67,2010-01-05,3.00,-4.00,-3.00,-8.00,6.00,-3.00,-3.00,-4.00,71.00,-1.00
1927,2010-01-05,3.00,-4.00,-3.00,-8.00,6.00,-3.00,-3.00,-4.00,71.00,-1.00
1923,2010-01-06,11.00,-3.00,-2.00,1.00,-7.00,-1.00,-1.00,-9.00,14.00,-11.00
67,2010-01-06,11.00,-3.00,-2.00,1.00,-7.00,-1.00,-1.00,-9.00,14.00,-11.00
1927,2010-01-06,11.00,-3.00,-2.00,1.00,-7.00,-1.00,-1.00,-9.00,14.00,-11.00
1923,2010-01-07,43.00,-1.00,1440,1440,4.00,65.00,38.00,42.00,6.00,10.00
67,2010-01-07,43.00,-1.00,1440,1440,4.00,65.00,38.00,42.00,6.00,10.00
1927,2010-01-07,43.00,-1.00,1440,1440,4.00,65.00,38.00,42.00,6.00,10.00
1923,2010-01-08,-2.00,59.00,47.00,1.00,110.00,11.00,-5.00,-3.00,294.00,31.00
67,2010-01-08,-2.00,59.00,47.00,1.00,110.00,11.00,-5.00,-3.00,294.00,31.00
1927,2010-01-08,-2.00,59.00,47.00,1.00,110.00,11.00,-5.00,-3.00,294.00,31.00
1923,2010-01-09,27.00,10.00,46.00,-6.00,30.00,0.00,5.00,-3.00,3.00,-2.00
67,2010-01-09,27.00,10.00,46.00,-6.00,30.00,0.00,5.00,-3.00,3.00,-2.00
1923,2010-01-10,-1.00,-4.00,-5.00,-9.00,2.00,30.00,-5.00,-4.00,-6.00,-4.00
67,2010-01-10,-1.00,-4.00,-5.00,-9.00,2.00,30.00,-5.00,-4.00,-6.00,-4.00
1927,2010-01-10,-1.00,-4.00,-5.00,-9.00,2.00,30.00,-5.00,-4.00,-6.00,-4.00
1923,2010-01-11,-5.00,10.00,-1.00,-4.00,-8.00,5.00,-5.00,-6.00,-13.00,-1.00
67,2010-01-11,-5.00,10.00,-1.00,-4.00,-8.00,5.00,-5.00,-6.00,-13.00,-1.00
1927,2010-01-11,-5.00,10.00,-1.00,-4.00,-8.00,5.00,-5.00,-6.00,-13.00,-1.00
1923,2010-01-12,14.00,11.00,-4.00,-3.00,10.00,9.00,-4.00,-13.00,-9.00,-5.00
67,2010-01-12,14.00,11.00,-4.00,-3.00,10.00,9.00,-4.00,-13.00,-9.00,-5.00
1927,2010-01-12,14.00,11.00,-4.00,-3.00,10.00,9.00,-4.00,-13.00,-9.00,-5.00
1923,2010-01-13,-1.00,0.00,-5.00,5.00,-11.00,-2.00,-12.00,-5.00,-3.00,-3.00
67,2010-01-13,-1.00,0.00,-5.00,5.00,-11.00,-2.00,-12.00,-5.00,-3.00,-3.00
1927,2010-01-13,-1.00,0.00,-5.00,5.00,-11.00,-2.00,-12.00,-5.00,-3.00,-3.00
