FlightNum,FlightDate,Origin_CLT_Del1,Origin_CLT_Del2,Origin_CLT_Del3,Origin_CLT_Del4,Origin_CLT_Del5,Origin_SAV_Del1,Origin_SAV_Del2,Origin_SAV_Del3,Origin_SAV_Del4,Origin_SAV_Del5,Origin_BNA_Del1,Origin_BNA_Del2,Origin_BNA_Del3,Origin_BNA_Del4,Origin_BNA_Del5
67,2010-01-01,-4.00,8.00,31.00,1440,-2.00,-1.00,21.00,2.00,-3.00,5.00,14.00,2.00,-8.00,-8.00,-2.00
67,2010-01-02,0.00,1440,60.00,-1.00,-3.00,138.00,-4.00,-7.00,0.00,-8.00,6.00,12.00,8.00,18.00,14.00
1927,2010-01-02,0.00,1440,60.00,-1.00,-3.00,138.00,-4.00,-7.00,0.00,-8.00,6.00,12.00,8.00,18.00,14.00
67,2010-01-03,6.00,1440,15.00,91.00,4.00,14.00,-3.00,-10.00,-4.00,4.00,19.00,24.00,-2.00,-1.00,1440
1927,2010-01-03,6.00,1440,15.00,91.00,4.00,14.00,-3.00,-10.00,-4.00,4.00,19.00,24.00,-2.00,-1.00,1440
67,2010-01-04,0.00,-2.00,14.00,0.00,12.00,1440,31.00,54.00,121.00,19.00,12.00,20.00,19.00,17.00,25.00
1927,2010-01-04,0.00,-2.00,14.00,0.00,12.00,1440,31.00,54.00,121.00,19.00,12.00,20.00,19.00,17.00,25.00
1923,2010-01-05,2.00,0.00,44.00,-4.00,-1.00,132.00,-8.00,-5.00,58.00,-12.00,3.00,3.00,16.00,33.00,71.00
67,2010-01-05,2.00,0.00,44.00,-4.00,-1.00,132.00,-8.00,-5.00,58.00,-12.00,3.00,3.00,16.00,33.00,71.00
1927,2010-01-05,2.00,0.00,44.00,-4.00,-1.00,132.00,-8.00,-5.00,58.00,-12.00,3.00,3.00,16.00,33.00,71.00
1923,2010-01-06,-3.00,1440,2.00,-2.00,-4.00,-3.00,-1.00,1.00,-7.00,-6.00,0.00,17.00,189.00,27.00,9.00
67,2010-01-06,-3.00,1440,2.00,-2.00,-4.00,-3.00,-1.00,1.00,-7.00,-6.00,0.00,17.00,189.00,27.00,9.00
1927,2010-01-06,-3.00,1440,2.00,-2.00,-4.00,-3.00,-1.00,1.00,-7.00,-6.00,0.00,17.00,189.00,27.00,9.00
1923,2010-01-07,41.00,96.00,-4.00,-2.00,-6.00,0.00,-10.00,-4.00,12.00,1440,12.00,8.00,19.00,8.00,27.00
67,2010-01-07,41.00,96.00,-4.00,-2.00,-6.00,0.00,-10.00,-4.00,12.00,1440,12.00,8.00,19.00,8.00,27.00
1927,2010-01-07,41.00,96.00,-4.00,-2.00,-6.00,0.00,-10.00,-4.00,12.00,1440,12.00,8.00,19.00,8.00,27.00
1923,2010-01-08,-14.00,47.00,21.00,-3.00,3.00,1.00,0.00,-10.00,112.00,240.00,-6.00,-1.00,21.00,3.00,77.00
67,2010-01-08,-14.00,47.00,21.00,-3.00,3.00,1.00,0.00,-10.00,112.00,240.00,-6.00,-1.00,21.00,3.00,77.00
1927,2010-01-08,-14.00,47.00,21.00,-3.00,3.00,1.00,0.00,-10.00,112.00,240.00,-6.00,-1.00,21.00,3.00,77.00
1923,2010-01-09,-4.00,0.00,25.00,-3.00,-9.00,-6.00,-2.00,-6.00,6.00,5.00,13.00,36.00,1.00,-2.00,79.00
67,2010-01-09,-4.00,0.00,25.00,-3.00,-9.00,-6.00,-2.00,-6.00,6.00,5.00,13.00,36.00,1.00,-2.00,79.00
1923,2010-01-10,-7.00,151.00,-6.00,1.00,1.00,26.00,-10.00,-2.00,20.00,-14.00,3.00,10.00,12.00,1.00,0.00
67,2010-01-10,-7.00,151.00,-6.00,1.00,1.00,26.00,-10.00,-2.00,20.00,-14.00,3.00,10.00,12.00,1.00,0.00
1927,2010-01-10,-7.00,151.00,-6.00,1.00,1.00,26.00,-10.00,-2.00,20.00,-14.00,3.00,10.00,12.00,1.00,0.00
1923,2010-01-11,-8.00,-7.00,-2.00,-6.00,1.00,-4.00,-5.00,-14.00,-1.00,9.00,-1.00,-5.00,13.00,-2.00,7.00
67,2010-01-11,-8.00,-7.00,-2.00,-6.00,1.00,-4.00,-5.00,-14.00,-1.00,9.00,-1.00,-5.00,13.00,-2.00,7.00
1927,2010-01-11,-8.00,-7.00,-2.00,-6.00,1.00,-4.00,-5.00,-14.00,-1.00,9.00,-1.00,-5.00,13.00,-2.00,7.00
1923,2010-01-12,-6.00,9.00,-1.00,-10.00,-7.00,-8.00,-13.00,91.00,-11.00,-5.00,-2.00,17.00,6.00,8.00,9.00
67,2010-01-12,-6.00,9.00,-1.00,-10.00,-7.00,-8.00,-13.00,91.00,-11.00,-5.00,-2.00,17.00,6.00,8.00,9.00
1927,2010-01-12,-6.00,9.00,-1.00,-10.00,-7.00,-8.00,-13.00,91.00,-11.00,-5.00,-2.00,17.00,6.00,8.00,9.00
1923,2010-01-13,-5.00,-2.00,1.00,-10.00,-1.00,-3.00,-2.00,24.00,-9.00,-4.00,-8.00,2.00,13.00,102.00,-4.00
67,2010-01-13,-5.00,-2.00,1.00,-10.00,-1.00,-3.00,-2.00,24.00,-9.00,-4.00,-8.00,2.00,13.00,102.00,-4.00
1927,2010-01-13,-5.00,-2.00,1.00,-10.00,-1.00,-3.00,-2.00,24.00,-9.00,-4.00,-8.00,2.00,13.00,102.00,-4.00
1923,2010-01-14,12.00,-3.00,77.00,78.00,-1.00,-12.00,-10.00,0.00,-1.00,-10.00,-3.00,-5.00,2.00,1.00,-6.00
67,2010-01-14,12.00,-3.00,77.00,78.00,-1.00,-12.00,-10.00,0.00,-1.00,-10.00,-3.00,-5.00,2.00,1.00,-6.00
1927,2010-01-14,12.00,-3.00,77.00,78.00,-1.00,-12.00,-10.00,0.00,-1.00,-10.00,-3.00,-5.00,2.00,1.00,-6.00
1923,2010-01-15,-11.00,3.00,-2.00,-3.00,-1.00,5.00,155.00,-9.00,11.00,33.00,1.00,1.00,6.00,-1.00,6.00
67,2010-01-15,-11.00,3.00,-2.00,-3.00,-1.00,5.00,155.00,-9.00,11.00,33.00,1.00,1.00,6.00,-1.00,6.00
1927,2010-01-15,-11.00,3.00,-2.00,-3.00,-1.00,5.00,155.00,-9.00,11.00,33.00,1.00,1.00,6.00,-1.00,6.00
1923,2010-01-16,7.00,-5.00,-1.00,-7.00,-8.00,24.00,-10.00,-7.00,0.00,-8.00,8.00,-6.00,37.00,-2.00,0.00
67,2010-01-16,7.00,-5.00,-1.00,-7.00,-8.00,24.00,-10.00,-7.00,0.00,-8.00,8.00,-6.00,37.00,-2.00,0.00
1923,2010-01-17,-10.00,35.00,-7.00,21.00,30.00,55.00,-4.00,19.00,-9.00,-5.00,215.00,3.00,-1.00,-4.00,1.00
67,2010-01-17,-10.00,35.00,-7.00,21.00,30.00,55.00,-4.00,19.00,-9.00,-5.00,215.00,3.00,-1.00,-4.00,1.00
