FlightNum,FlightDate,Dest_Del1,Dest_Del2,Dest_Del3,Dest_Del4,Dest_Del5,Dest_Del6,Dest_Del7,Dest_Del8,Dest_Del9,Dest_Del10,Dest_Del11,Dest_Del12,Dest_Del13,Dest_Del14,Dest_Del15
67,2010-01-01,-26.00,-16.00,6.00,0.00,-20.00,58.00,-5.00,5.00,6.00,-10.00,33.00,-1.00,1.00,-9.00,4.00
67,2010-01-02,-18.00,45.00,7.00,206.00,15.00,23.00,-17.00,-16.00,-15.00,-11.00,-7.00,77.00,-7.00,-10.00,-6.00
1927,2010-01-02,-18.00,45.00,7.00,206.00,15.00,23.00,-17.00,-16.00,-15.00,-11.00,-7.00,77.00,-7.00,-10.00,-6.00
67,2010-01-03,13.00,-6.00,0.00,13.00,5.00,-9.00,0.00,9.00,-7.00,-3.00,15.00,1440,11.00,23.00,-10.00
1927,2010-01-03,13.00,-6.00,0.00,13.00,5.00,-9.00,0.00,9.00,-7.00,-3.00,15.00,1440,11.00,23.00,-10.00
67,2010-01-04,-33.00,-2.00,15.00,4.00,-15.00,16.00,-10.00,-11.00,-22.00,0.00,1.00,-13.00,-7.00,5.00,-14.00
1927,2010-01-04,-33.00,-2.00,15.00,4.00,-15.00,16.00,-10.00,-11.00,-22.00,0.00,1.00,-13.00,-7.00,5.00,-14.00
1923,2010-01-05,-35.00,4.00,-11.00,-21.00,-6.00,1440,5.00,4.00,7.00,-11.00,-14.00,-9.00,29.00,6.00,-9.00
67,2010-01-05,-35.00,4.00,-11.00,-21.00,-6.00,1440,5.00,4.00,7.00,-11.00,-14.00,-9.00,29.00,6.00,-9.00
1927,2010-01-05,-35.00,4.00,-11.00,-21.00,-6.00,1440,5.00,4.00,7.00,-11.00,-14.00,-9.00,29.00,6.00,-9.00
1923,2010-01-06,-34.00,3.00,-6.00,-10.00,3.00,-27.00,-7.00,-15.00,8.00,127.00,-8.00,15.00,-6.00,0.00,1440
67,2010-01-06,-34.00,3.00,-6.00,-10.00,3.00,-27.00,-7.00,-15.00,8.00,127.00,-8.00,15.00,-6.00,0.00,1440
1927,2010-01-06,-34.00,3.00,-6.00,-10.00,3.00,-27.00,-7.00,-15.00,8.00,127.00,-8.00,15.00,-6.00,0.00,1440
1923,2010-01-07,51.00,-9.00,0.00,-13.00,21.00,1440,48.00,16.00,19.00,-11.00,21.00,-2.00,15.00,-20.00,10.00
67,2010-01-07,51.00,-9.00,0.00,-13.00,21.00,1440,48.00,16.00,19.00,-11.00,21.00,-2.00,15.00,-20.00,10.00
1927,2010-01-07,51.00,-9.00,0.00,-13.00,21.00,1440,48.00,16.00,19.00,-11.00,21.00,-2.00,15.00,-20.00,10.00
1923,2010-01-08,-5.00,-15.00,14.00,-3.00,7.00,1440,-5.00,-8.00,-24.00,-12.00,1440,-11.00,0.00,-1.00,30.00
67,2010-01-08,-5.00,-15.00,14.00,-3.00,7.00,1440,-5.00,-8.00,-24.00,-12.00,1440,-11.00,0.00,-1.00,30.00
1927,2010-01-08,-5.00,-15.00,14.00,-3.00,7.00,1440,-5.00,-8.00,-24.00,-12.00,1440,-11.00,0.00,-1.00,30.00
1923,2010-01-09,-13.00,19.00,1.00,-1.00,112.00,5.00,-19.00,-10.00,-2.00,-17.00,27.00,-10.00,-28.00,59.00,-25.00
67,2010-01-09,-13.00,19.00,1.00,-1.00,112.00,5.00,-19.00,-10.00,-2.00,-17.00,27.00,-10.00,-28.00,59.00,-25.00
1923,2010-01-10,-47.00,-9.00,-7.00,-26.00,-37.00,-7.00,-18.00,-22.00,1440,-24.00,-3.00,1440,-18.00,3.00,0.00
67,2010-01-10,-47.00,-9.00,-7.00,-26.00,-37.00,-7.00,-18.00,-22.00,1440,-24.00,-3.00,1440,-18.00,3.00,0.00
1927,2010-01-10,-47.00,-9.00,-7.00,-26.00,-37.00,-7.00,-18.00,-22.00,1440,-24.00,-3.00,1440,-18.00,3.00,0.00
1923,2010-01-11,-21.00,-17.00,-16.00,-10.00,-4.00,-30.00,89.00,-14.00,1440,8.00,5.00,-2.00,-14.00,-12.00,-8.00
67,2010-01-11,-21.00,-17.00,-16.00,-10.00,-4.00,-30.00,89.00,-14.00,1440,8.00,5.00,-2.00,-14.00,-12.00,-8.00
1927,2010-01-11,-21.00,-17.00,-16.00,-10.00,-4.00,-30.00,89.00,-14.00,1440,8.00,5.00,-2.00,-14.00,-12.00,-8.00
1923,2010-01-12,-52.00,-18.00,10.00,-34.00,-28.00,-58.00,-11.00,7.00,26.00,6.00,-8.00,6.00,2.00,-7.00,-12.00
