Carrier,FlightNum,FlightDate,CRSDepTime,DepDelay
DL,67,2010-01-01,1630,13.00
DL,67,2010-01-02,1630,20.00
DL,1927,2010-01-02,1740,-6.00
DL,67,2010-01-03,1630,-4.00
DL,1927,2010-01-03,1740,-6.00
DL,67,2010-01-04,1630,3.00
DL,1927,2010-01-04,1740,2.00
DL,1923,2010-01-05,1508,3.00
DL,67,2010-01-05,1620,8.00
DL,1927,2010-01-05,1735,-4.00
DL,1923,2010-01-06,1508,-7.00
DL,67,2010-01-06,1620,5.00
DL,1927,2010-01-06,1735,-4.00
DL,1923,2010-01-07,1508,2.00
DL,67,2010-01-07,1620,2.00
DL,1927,2010-01-07,1735,
DL,1923,2010-01-08,1508,1.00
DL,67,2010-01-08,1620,9.00
DL,1927,2010-01-08,1735,24.00
DL,1923,2010-01-09,1508,9.00
DL,67,2010-01-09,1620,-4.00
DL,1923,2010-01-10,1508,11.00
DL,67,2010-01-10,1620,-3.00
DL,1927,2010-01-10,1735,-2.00
DL,1923,2010-01-11,1508,23.00
DL,67,2010-01-11,1620,0.00
DL,1927,2010-01-11,1735,-5.00
DL,1923,2010-01-12,1508,15.00
DL,67,2010-01-12,1620,20.00
DL,1927,2010-01-12,1735,-2.00
DL,1923,2010-01-13,1508,-3.00
DL,67,2010-01-13,1620,1.00
DL,1927,2010-01-13,1735,-3.00
DL,1923,2010-01-14,1508,-1.00
DL,67,2010-01-14,1620,-1.00
DL,1927,2010-01-14,1735,-3.00
DL,1923,2010-01-15,1508,6.00
DL,67,2010-01-15,1620,1.00
DL,1927,2010-01-15,1735,-5.00
DL,1923,2010-01-16,1508,-1.00
DL,67,2010-01-16,1620,7.00
DL,1923,2010-01-17,1508,6.00
DL,67,2010-01-17,1620,-5.00
DL,1927,2010-01-17,1735,-5.00
DL,1923,2010-01-18,1508,1.00
DL,67,2010-01-18,1620,0.00
DL,1927,2010-01-18,1735,-3.00
DL,1923,2010-01-19,1508,0.00
DL,67,2010-01-19,1620,-1.00
DL,1927,2010-01-19,1735,-6.00
DL,1923,2010-01-20,1508,-5.00
DL,67,2010-01-20,1620,-4.00
DL,1927,2010-01-20,1735,-1.00
