ALB,serveCity,Albany
ATL,hasNeiAirport1,CLT
ATL,hasNeiAirport2,SAV
ATL,hasNeiAirport3,BNA
ATL,hasNeiRecDep1_1,dep_CLT_r1
ATL,hasNeiRecDep1_2,dep_CLT_r2
ATL,hasNeiRecDep1_3,dep_CLT_r3
ATL,hasNeiRecDep1_4,dep_CLT_r4
ATL,hasNeiRecDep1_5,dep_CLT_r5
ATL,hasNeiRecDep2_1,dep_SAV_r1
ATL,hasNeiRecDep2_2,dep_SAV_r2
ATL,hasNeiRecDep2_3,dep_SAV_r3
ATL,hasNeiRecDep3_1,dep_BNA_r1
ATL,hasNeiRecDep3_2,dep_BNA_r2
ATL,hasNeiRecDep3_3,dep_BNA_r3
ATL,hasNeiRecDep3_4,dep_BNA_r4
ATL,hasNeiRecDep3_5,dep_BNA_r5
ATL,hasRecDep1,dep_ATL_r1
ATL,hasRecDep10,dep_ATL_r10
ATL,hasRecDep11,dep_ATL_r11
ATL,hasRecDep12,dep_ATL_r12
ATL,hasRecDep13,dep_ATL_r13
ATL,hasRecDep2,dep_ATL_r2
ATL,hasRecDep3,dep_ATL_r3
ATL,hasRecDep4,dep_ATL_r4
ATL,hasRecDep5,dep_ATL_r5
ATL,hasRecDep6,dep_ATL_r6
ATL,hasRecDep7,dep_ATL_r7
ATL,hasRecDep8,dep_ATL_r8
ATL,hasRecDep9,dep_ATL_r9
ATL,hasWeather,wea_ori
ATL,neighbourAirportProperty,CLT
ATL,neighbourAirportProperty,SAV
ATL,neighbourAirportProperty,BNA
ATL,neighbourRecentDepProperty,dep_BNA_r3
ATL,neighbourRecentDepProperty,dep_BNA_r2
ATL,neighbourRecentDepProperty,dep_BNA_r1
ATL,neighbourRecentDepProperty,dep_CLT_r2
ATL,neighbourRecentDepProperty,dep_CLT_r3
ATL,neighbourRecentDepProperty,dep_CLT_r4
ATL,neighbourRecentDepProperty,dep_CLT_r5
ATL,neighbourRecentDepProperty,dep_SAV_r1
ATL,neighbourRecentDepProperty,dep_BNA_r5
ATL,neighbourRecentDepProperty,dep_BNA_r4
ATL,neighbourRecentDepProperty,dep_CLT_r1
ATL,neighbourRecentDepProperty,dep_SAV_r2
ATL,neighbourRecentDepProperty,dep_SAV_r3
ATL,recentDepProperty,dep_ATL_r8
ATL,recentDepProperty,dep_ATL_r9
ATL,recentDepProperty,dep_ATL_r12
ATL,recentDepProperty,dep_ATL_r11
ATL,recentDepProperty,dep_ATL_r13
ATL,recentDepProperty,dep_ATL_r1
ATL,recentDepProperty,dep_ATL_r2
ATL,recentDepProperty,dep_ATL_r10
ATL,recentDepProperty,dep_ATL_r3
ATL,recentDepProperty,dep_ATL_r4
ATL,recentDepProperty,dep_ATL_r5
ATL,recentDepProperty,dep_ATL_r6
ATL,recentDepProperty,dep_ATL_r7
ATL,serveCity,Atlanta
ATW,serveCity,Appleton
AUS,serveCity,Austin
Albany,locatedIn,S_NY
Appleton,locatedIn,S_WI
Atlanta,locatedIn,S_GA
Austin,locatedIn,S_TX
BNA,hasRecDep1,dep_BNA_r1
BNA,hasRecDep2,dep_BNA_r2
BNA,hasRecDep3,dep_BNA_r3
BNA,hasRecDep4,dep_BNA_r4
BNA,hasRecDep5,dep_BNA_r5
BNA,recentDepProperty,dep_BNA_r3
BNA,recentDepProperty,dep_BNA_r2
BNA,recentDepProperty,dep_BNA_r1
BNA,recentDepProperty,dep_BNA_r5
BNA,recentDepProperty,dep_BNA_r4
BNA,serveCity,Nashville
BOS,serveCity,Boston
Boston,locatedIn,S_MA
CHS,serveCity,Charleston
CLT,hasNeiAirport1,ATL
CLT,hasNeiAirport1,ori
CLT,hasNeiAirport2,RDU
CLT,hasNeiAirport3,CHS
CLT,hasNeiRecDep1_1,dep_ATL_r1
CLT,hasNeiRecDep1_2,dep_ATL_r2
CLT,hasNeiRecDep1_3,dep_ATL_r3
CLT,hasNeiRecDep1_4,dep_ATL_r4
CLT,hasNeiRecDep1_5,dep_ATL_r5
CLT,hasRecDep1,dep_CLT_r1
CLT,hasRecDep2,dep_CLT_r2
CLT,hasRecDep3,dep_CLT_r3
CLT,hasRecDep4,dep_CLT_r4
CLT,hasRecDep5,dep_CLT_r5
CLT,neighbourAirportProperty,ATL
CLT,neighbourAirportProperty,ori
CLT,neighbourAirportProperty,RDU
CLT,neighbourAirportProperty,CHS
CLT,neighbourRecentDepProperty,dep_ATL_r1
CLT,neighbourRecentDepProperty,dep_ATL_r2
CLT,neighbourRecentDepProperty,dep_ATL_r3
CLT,neighbourRecentDepProperty,dep_ATL_r4
CLT,neighbourRecentDepProperty,dep_ATL_r5
CLT,recentDepProperty,dep_CLT_r2
CLT,recentDepProperty,dep_CLT_r3
CLT,recentDepProperty,dep_CLT_r4
CLT,recentDepProperty,dep_CLT_r5
CLT,recentDepProperty,dep_CLT_r1
CLT,serveCity,Charlotte
Charleston,locatedIn,S_SC
Charlotte,locatedIn,S_NC
Chicago,locatedIn,S_IL
DAB,serveCity,Daytona_Beach
DCA,serveCity,Washington
DEN,serveCity,Denver
DFW,hasNeiAirport1,OKC
DFW,hasNeiAirport2,AUS
DFW,hasNeiAirport3,IAH
DFW,hasWeather,wea_des
DFW,neighbourAirportProperty,OKC
DFW,neighbourAirportProperty,IAH
DFW,neighbourAirportProperty,AUS
DFW,serveCity,Dallas
DFW,serveCity,Fort_Worth
DL,hasRecCarDep1,dep_car_r1
DL,hasRecCarDep10,dep_car_r10
DL,hasRecCarDep2,dep_car_r2
DL,hasRecCarDep3,dep_car_r3
DL,hasRecCarDep4,dep_car_r4
DL,hasRecCarDep5,dep_car_r5
DL,hasRecCarDep6,dep_car_r6
DL,hasRecCarDep7,dep_car_r7
DL,hasRecCarDep8,dep_car_r8
DL,hasRecCarDep9,dep_car_r9
DL,hasRecCarOriDep1,dep_DL_ori_r1
DL,hasRecCarOriDep2,dep_DL_ori_r2
DL,hasRecCarOriDep3,dep_DL_ori_r3
DL,hasRecCarOriDep4,dep_DL_ori_r4
DL,hasRecCarOriDep5,dep_DL_ori_r5
DL,recentCarrierDepProperty,dep_car_r2
DL,recentCarrierDepProperty,dep_car_r1
DL,recentCarrierDepProperty,dep_car_r8
DL,recentCarrierDepProperty,dep_car_r7
DL,recentCarrierDepProperty,dep_car_r10
DL,recentCarrierDepProperty,dep_car_r9
DL,recentCarrierDepProperty,dep_car_r4
DL,recentCarrierDepProperty,dep_car_r3
DL,recentCarrierDepProperty,dep_car_r6
DL,recentCarrierDepProperty,dep_car_r5
DL,recentCarrierOriginDepProperty,dep_DL_ori_r1
DL,recentCarrierOriginDepProperty,dep_DL_ori_r4
DL,recentCarrierOriginDepProperty,dep_DL_ori_r5
DL,recentCarrierOriginDepProperty,dep_DL_ori_r2
DL,recentCarrierOriginDepProperty,dep_DL_ori_r3
DSM,serveCity,Des_Moines
Dallas,locatedIn,S_TX
Daytona_Beach,locatedIn,S_FL
Denver,locatedIn,S_CO
Des_Moines,locatedIn,S_IA
EWR,hasNeiAirport1,LGA
EWR,hasNeiAirport2,JFK
EWR,hasNeiAirport3,PHL
EWR,neighbourAirportProperty,LGA
EWR,neighbourAirportProperty,PHL
EWR,neighbourAirportProperty,JFK
Fort_Worth,locatedIn,S_TX
GRR,serveCity,Grand_Rapids
Grand_Rapids,locatedIn,S_MI
HOU,serveCity,Houston
Houston,locatedIn,S_TX
IAD,serveCity,Washington
IAH,serveCity,Houston
JFK,hasNeiAirport1,LGA
JFK,hasNeiAirport2,EWR
JFK,hasNeiAirport3,PHL
JFK,neighbourAirportProperty,LGA
JFK,neighbourAirportProperty,PHL
JFK,neighbourAirportProperty,EWR
Kansas_City,locatedIn,S_MO
LAX,hasNeiAirport1,BUR
LAX,hasNeiAirport2,SNA
LAX,hasNeiAirport3,SAN
LAX,neighbourAirportProperty,SNA
LAX,neighbourAirportProperty,SAN
LAX,neighbourAirportProperty,BUR
LAX,serveCity,Los_Angeles
LGA,serveCity,New_York
Los_Angeles,locatedIn,S_CA
MCI,serveCity,Kansas_City
MCO,serveCity,Orlando
MEM,serveCity,Memphis
MIA,serveCity,Miami
MSP,serveCity,Minneapolis
Memphis,locatedIn,S_TN
Miami,locatedIn,S_FL
Minneapolis,locatedIn,S_MN
Nashville,locatedIn,S_TN
New_York,locatedIn,S_NY
ORD,hasNeiAirport1,MDW
ORD,hasNeiAirport2,MKE
ORD,hasNeiAirport3,DTW
ORD,neighbourAirportProperty,MKE
ORD,neighbourAirportProperty,DTW
ORD,neighbourAirportProperty,MDW
ORD,serveCity,Chicago
Orlando,locatedIn,S_FL
PBI,serveCity,West_Palm_Beach
PBI,serveCity,Palm_Beach
Palm_Beach,locatedIn,S_FL
SAV,hasRecDep1,dep_SAV_r1
